연도,시도,주택소유 가구,무주택 가구,자가비율,평균자가비율
2017,충청남도,477532,357454,0.5719041995913704,0.5736521442655891
2018,충청남도,492564,358560,0.578721784369845,0.5736521442655891
2019,충청남도,504574,359528,0.5839287491522992,0.5736521442655891
2020,충청남도,517605,374617,0.5801302814770315,0.5736521442655891
2021,충청남도,529443,386191,0.5782255792161497,0.5736521442655891
2022,충청남도,535466,395904,0.5749229629470565,0.5736521442655891
2015,전라북도,421666,295645,0.5878426512349595,0.5886478588466171
2016,전라북도,415291,309387,0.5730696944022035,0.5886478588466171
2017,전라북도,427522,301349,0.5865537248703817,0.5886478588466171
2018,전라북도,434101,298879,0.5922412616988185,0.5886478588466171
2019,전라북도,439491,298816,0.5952686348632751,0.5886478588466171
2020,전라북도,448731,306844,0.593893392449459,0.5886478588466171
2021,전라북도,458116,314355,0.5930526841784352,0.5886478588466171
2022,전라북도,456701,320979,0.5872608270754037,0.5886478588466171
2015,전라남도,431275,289337,0.5984843438632718,0.6017266057588246
2016,전라남도,421262,305935,0.5792955691511379,0.6017266057588246
2017,전라남도,435332,298425,0.5932917846098913,0.6017266057588246
2018,전라남도,441640,295766,0.5989102339823652,0.6017266057588246
2019,전라남도,449851,291175,0.607065069241835,0.6017266057588246
2020,전라남도,464463,297055,0.6099172967677717,0.6017266057588246
2021,전라남도,477123,300235,0.6137751203435226,0.6017266057588246
2022,전라남도,481045,303600,0.6130734281108017,0.6017266057588246
2015,경상북도,635608,427116,0.5980932019978846,0.6046386917033659
2016,경상북도,632790,443791,0.5877774175839997,0.6046386917033659
2017,경상북도,652416,435391,0.5997534489114338,0.6046386917033659
2018,경상북도,665822,428712,0.6083155023050906,0.6046386917033659
2019,경상북도,675292,427642,0.6122687304952065,0.6046386917033659
2020,경상북도,688989,442830,0.6087448611482932,0.6046386917033659
2021,경상북도,707840,448805,0.6119768814113232,0.6046386917033659
2022,경상북도,711656,454650,0.6101794897736957,0.6046386917033659
2015,경상남도,769925,488562,0.6117862163057703,0.6226586354314734
2016,경상남도,773636,499887,0.6074770538105712,0.6226586354314734
2017,경상남도,800655,492343,0.6192236956282995,0.6226586354314734
2018,경상남도,816442,489952,0.6249584734773735,0.6226586354314734
2019,경상남도,831804,489409,0.6295760032636676,0.6226586354314734
2020,경상남도,850274,499881,0.629760286781888,0.6226586354314734
2021,경상남도,868473,510509,0.6297928471872729,0.6226586354314734
2022,경상남도,875525,517083,0.6286945069969438,0.6226586354314734
2015,제주특별자치도,123364,97005,0.5598065063597875,0.552664893590723
2016,제주특별자치도,126245,103092,0.5504781173556819,0.552664893590723
2017,제주특별자치도,132246,107969,0.5505318152488395,0.552664893590723
2018,제주특별자치도,137174,111824,0.5509040233254886,0.552664893590723
2019,제주특별자치도,140671,113045,0.5544427627741254,0.552664893590723
2020,제주특별자치도,144313,118755,0.5485767938327732,0.552664893590723
2021,제주특별자치도,149416,121746,0.5510211607821155,0.552664893590723
2022,제주특별자치도,153459,122766,0.5555579690469725,0.552664893590723
