연도,시도,시군구,자가비율
2016,강원도,춘천시,0.5547451909927978
2016,강원도,원주시,0.5267501314455968
2016,강원도,강릉시,0.5341675881835211
2016,강원도,동해시,0.5671297582661851
2016,강원도,태백시,0.5789473684210527
2016,강원도,속초시,0.5684111067085251
2016,강원도,삼척시,0.5409499709332148
2016,강원도,홍천군,0.6168993387215282
2016,강원도,횡성군,0.6022042362665748
2016,강원도,영월군,0.6165934541854854
2016,강원도,평창군,0.6007875383635416
2016,강원도,정선군,0.5782889164005994
2016,강원도,철원군,0.5211594515815611
2016,강원도,화천군,0.43167224382743963
2016,강원도,양구군,0.4769049405208445
2016,강원도,인제군,0.5237538940809969
2016,강원도,고성군,0.5106301032198428
2016,강원도,양양군,0.595028067361668
2016,충청북도,충주시,0.5785888763622699
2016,충청북도,제천시,0.5685885050829707
2016,충청북도,청주시,0.5692629743805098
2016,충청북도,상당구,0.6429188255613126
2016,충청북도,서원구,0.5615749179730223
2016,충청북도,흥덕구,0.543986063005113
2016,충청북도,청원구,0.5482820926607909
2016,충청북도,보은군,0.6111030478955007
2016,충청북도,옥천군,0.6561619009262988
2016,충청북도,영동군,0.593973075264696
2016,충청북도,진천군,0.5354066450385949
2016,충청북도,괴산군,0.589058838041199
2016,충청북도,음성군,0.48974996117409536
2016,충청북도,단양군,0.6303305986516123
2016,충청북도,증평군,0.5024386892903757
2016,충청남도,천안시,0.5350827965725485
2016,충청남도,동남구,0.5352926817360738
2016,충청남도,서북구,0.5349251629840939
2016,충청남도,공주시,0.569112725120102
2016,충청남도,보령시,0.5592908636163013
2016,충청남도,아산시,0.5432771444918798
2016,충청남도,서산시,0.5903873190476926
2016,충청남도,논산시,0.5313867106892283
2016,충청남도,계룡시,0.5993167746067896
2016,충청남도,당진시,0.5596161920905712
2016,충청남도,금산군,0.5875465228118597
2016,충청남도,부여군,0.5957119885653028
2016,충청남도,서천군,0.5963760504201681
2016,충청남도,청양군,0.6295475389789056
2016,충청남도,홍성군,0.5624018936090693
2016,충청남도,예산군,0.634857895727461
2016,충청남도,태안군,0.5995249406175772
2016,전라북도,전주시,0.5812319935246811
2016,전라북도,완산구,0.5752326691111573
2016,전라북도,덕진구,0.5888187147238707
2016,전라북도,군산시,0.5698019664610177
2016,전라북도,익산시,0.5635655428168942
2016,전라북도,정읍시,0.5467328918322296
2016,전라북도,남원시,0.6088538690565697
2016,전라북도,김제시,0.5587398315559516
2016,전라북도,완주군,0.5291184894452106
2016,전라북도,진안군,0.6607554353271216
2016,전라북도,무주군,0.6495794953944733
2016,전라북도,장수군,0.6534675367769052
2016,전라북도,임실군,0.5148404755795056
2016,전라북도,순창군,0.6427076064200977
2016,전라북도,고창군,0.49780897681344394
2016,전라북도,부안군,0.6122967253285809
2016,전라남도,목포시,0.5535174748751794
2016,전라남도,여수시,0.5767319144192269
2016,전라남도,순천시,0.5921416166719292
2016,전라남도,나주시,0.551458840301846
2016,전라남도,광양시,0.5720989917506875
2016,전라남도,담양군,0.6515868840960898
2016,전라남도,곡성군,0.6221209024447764
2016,전라남도,구례군,0.6667287630402384
2016,전라남도,고흥군,0.5196246318240976
2016,전라남도,보성군,0.6167724137931034
2016,전라남도,화순군,0.5645814130565463
2016,전라남도,장흥군,0.6226912928759895
2016,전라남도,강진군,0.684831609652612
2016,전라남도,해남군,0.6064311124926606
2016,전라남도,영암군,0.5506600377164409
2016,전라남도,무안군,0.5573200676041966
2016,전라남도,함평군,0.5138805970149254
2016,전라남도,영광군,0.540982058545798
2016,전라남도,장성군,0.6127205926639764
2016,전라남도,완도군,0.5615067968600421
2016,전라남도,진도군,0.6166400971684506
2016,전라남도,신안군,0.6337568058076225
2016,경상북도,포항시,0.5918965733651311
2016,경상북도,남구,0.6110073648209152
2016,경상북도,북구,0.5743570486341797
2016,경상북도,경주시,0.5673908918406072
2016,경상북도,김천시,0.5945373971239939
2016,경상북도,안동시,0.5851272876583763
2016,경상북도,구미시,0.5616913774020273
2016,경상북도,영주시,0.6262392893993092
2016,경상북도,영천시,0.6006056609763841
2016,경상북도,상주시,0.6384027430530752
2016,경상북도,문경시,0.627024308466052
2016,경상북도,경산시,0.5394093762923419
2016,경상북도,군위군,0.6515837104072398
2016,경상북도,의성군,0.6694897400244385
2016,경상북도,청송군,0.6052100692921674
2016,경상북도,영양군,0.6379150681307051
2016,경상북도,영덕군,0.6078614880673842
2016,경상북도,청도군,0.6878370941111722
2016,경상북도,고령군,0.5855595132086673
2016,경상북도,성주군,0.6248556915262065
2016,경상북도,칠곡군,0.5546386916565386
2016,경상북도,예천군,0.6363122462613701
2016,경상북도,봉화군,0.6162890123984609
2016,경상북도,울진군,0.567527469980064
2016,경상북도,울릉군,0.49308871575772806
2016,경상남도,진주시,0.5927291188416034
2016,경상남도,통영시,0.6198348654771489
2016,경상남도,사천시,0.5997986126650258
2016,경상남도,김해시,0.6187512986217295
2016,경상남도,밀양시,0.6004458700152415
2016,경상남도,거제시,0.6228205856666351
2016,경상남도,양산시,0.5875635065080693
2016,경상남도,창원시,0.5988239029656443
2016,경상남도,의창구,0.5326509636881868
2016,경상남도,성산구,0.6544442503057684
2016,경상남도,마산합포구,0.5986843950741956
2016,경상남도,마산회원구,0.6336896011414158
2016,경상남도,진해구,0.5852972972972973
2016,경상남도,의령군,0.6058881741712023
2016,경상남도,함안군,0.6038842883137139
2016,경상남도,창녕군,0.5954915228464989
2016,경상남도,고성군,0.6406949911768698
2016,경상남도,남해군,0.6618146281246785
2016,경상남도,하동군,0.6375989171178675
2016,경상남도,산청군,0.6335416112735974
2016,경상남도,함양군,0.6562574493444577
2016,경상남도,거창군,0.6338248257071881
2016,경상남도,합천군,0.6237877221483779
2016,제주특별자치도,제주시,0.5448131773173056
2016,제주특별자치도,서귀포시,0.5663299105664127
2017,서울특별시,종로구,0.47811517988841146
2017,서울특별시,중구,0.4170816733067729
2017,서울특별시,용산구,0.45082435072775573
2017,서울특별시,성동구,0.4652231784849161
2017,서울특별시,광진구,0.42329180363351054
2017,서울특별시,동대문구,0.4602254738667805
2017,서울특별시,중랑구,0.4710032382808816
2017,서울특별시,성북구,0.5151613257560429
2017,서울특별시,강북구,0.4973719565371108
2017,서울특별시,도봉구,0.6137139409719466
2017,서울특별시,노원구,0.5576063659431894
