,,,,,,,,,,,"단위 : 개, 명, 억원"
지역,대분류,중분류,기업수,,,종사자수,,,매출액,,
,,,2019년,2020년,2021년,2019년,2020년,2021년,2019년,2020년,2021년
전국,L.부동산업(68),68.부동산업,"1,155,850 ","1,222,938 ","1,258,699 ","1,249,173 ","1,320,913 ","1,361,526 ","439,051 ","503,442 ","573,809 "
전국,"M.전문, 과학 및 기술 서비스업(70~73)",소계,"195,413 ","221,967 ","251,912 ","311,960 ","347,574 ","385,450 ","236,633 ","262,162 ","315,446 "
전국,"M.전문, 과학 및 기술 서비스업(70~73)",70.연구개발업,"8,778 ","10,575 ","11,791 ","12,286 ","14,841 ","16,588 ","7,773 ","9,448 ","11,770 "
전국,"M.전문, 과학 및 기술 서비스업(70~73)",71.전문 서비스업,"91,729 ","106,432 ","124,299 ","154,079 ","173,327 ","195,696 ","117,213 ","131,784 ","159,518 "
전국,"M.전문, 과학 및 기술 서비스업(70~73)","72.건축 기술, 엔지니어링 및 기타 과학기술 서비스업","40,323 ","43,617 ","46,898 ","71,699 ","77,037 ","81,964 ","62,096 ","67,379 ","77,821 "
전국,"M.전문, 과학 및 기술 서비스업(70~73)","73.기타 전문, 과학 및 기술 서비스업","54,583 ","61,343 ","68,924 ","73,896 ","82,369 ","91,202 ","49,550 ","53,550 ","66,337 "
전국,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",소계,"133,209 ","155,279 ","158,172 ","184,119 ","209,123 ","212,806 ","134,667 ","134,258 ","156,729 "
전국,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",74.사업시설 관리 및 조경 서비스업,"20,250 ","24,774 ","29,287 ","29,685 ","37,404 ","42,889 ","16,068 ","20,010 ","24,431 "
전국,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",75.사업 지원 서비스업,"92,541 ","109,227 ","106,065 ","123,960 ","139,854 ","136,464 ","89,843 ","85,124 ","98,412 "
전국,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",76.임대업; 부동산 제외,"20,418 ","21,278 ","22,820 ","30,474 ","31,865 ","33,453 ","28,756 ","29,123 ","33,886 "
전국,P.교육 서비스업(85),소계,"217,499 ","230,307 ","247,134 ","279,435 ","292,110 ","314,106 ","123,572 ","112,819 ","147,063 "
전국,P.교육 서비스업(85),85.교육 서비스업,"217,499 ","230,307 ","247,134 ","279,435 ","292,110 ","314,106 ","123,572 ","112,819 ","147,063 "
전국,Q.보건업 및 사회복지 서비스업(86~87),소계,"50,905 ","52,029 ","52,482 ","163,374 ","163,921 ","163,553 ","161,938 ","154,519 ","165,484 "
전국,Q.보건업 및 사회복지 서비스업(86~87),86.보건업,"47,145 ","47,315 ","47,232 ","157,641 ","157,006 ","155,886 ","159,949 ","152,252 ","162,557 "
전국,Q.보건업 및 사회복지 서비스업(86~87),87.사회복지 서비스업,"3,760 ","4,714 ","5,250 ","5,733 ","6,915 ","7,667 ","1,990 ","2,267 ","2,928 "
전국,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",소계,"141,819 ","146,460 ","151,531 ","192,816 ","187,926 ","192,972 ","101,748 ","87,869 ","94,182 "
전국,"R.예술, 스포츠 및 여가관련 서비스업(90~91)","90.창작, 예술 및 여가관련 서비스업","31,265 ","36,038 ","39,964 ","38,975 ","44,336 ","48,140 ","22,315 ","21,064 ","26,119 "
전국,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",91.스포츠 및 오락관련 서비스업,"110,554 ","110,422 ","111,567 ","153,841 ","143,590 ","144,832 ","79,433 ","66,805 ","68,063 "
전국,S.수리 및 기타 개인 서비스업(94~96),소계,"365,119 ","377,999 ","391,359 ","459,491 ","459,965 ","469,253 ","166,966 ","169,923 ","181,897 "
전국,S.수리 및 기타 개인 서비스업(94~96),95.개인 및 소비용품 수리업,"102,557 ","106,759 ","110,445 ","141,745 ","143,445 ","146,130 ","75,496 ","80,998 ","87,386 "
전국,S.수리 및 기타 개인 서비스업(94~96),96.기타 개인 서비스업,"262,562 ","271,240 ","280,914 ","317,746 ","316,520 ","323,123 ","91,470 ","88,925 ","94,511 "
